[0.957818, 0.957916] ; [0.703691, 0.705273]
[0.958862, 0.958961] ; [0.705273, 0.706868]
[0.95991, 0.96001] ; [0.706868, 0.708475]
[0.960964, 0.961064] ; [0.708475, 0.710095]
[0.962023, 0.962124] ; [0.710095, 0.711729]
[0.963089, 0.963191] ; [0.711729, 0.713377]
[0.964162, 0.964264] ; [0.713377, 0.715039]
[0.965243, 0.965346] ; [0.715039, 0.716717]
[0.966333, 0.966436] ; [0.716717, 0.71841]
[0.967431, 0.967535] ; [0.71841, 0.72012]
[0.96854, 0.968645] ; [0.72012, 0.721847]
[0.96966, 0.969765] ; [0.721847, 0.723592]
[0.970792, 0.970898] ; [0.723592, 0.725355]
[0.971937, 0.972043] ; [0.725355, 0.727138]
[0.973092, 0.973199] ; [0.727138, 0.728937]
[0.974258, 0.974366] ; [0.728937, 0.73075]
[0.975436, 0.975544] ; [0.73075, 0.732579]
[0.976626, 0.976735] ; [0.732579, 0.734425]
[0.97783, 0.97794] ; [0.734425, 0.736288]
[0.979048, 0.979159] ; [0.736288, 0.738169]
[0.980283, 0.980393] ; [0.738169, 0.740069]
[0.981534, 0.981645] ; [0.740069, 0.74199]
[0.982803, 0.982915] ; [0.74199, 0.743933]
[0.984092, 0.984204] ; [0.743933, 0.745898]
[0.985402, 0.985515] ; [0.745898, 0.747888]
[0.986735, 0.986848] ; [0.747888, 0.749904]
[0.988092, 0.988206] ; [0.749904, 0.751949]
[0.989476, 0.989591] ; [0.751949, 0.754024]
[0.99089, 0.991005] ; [0.754024, 0.756133]
[0.992334, 0.99245] ; [0.756133, 0.758277]
[0.993787, 0.993904] ; [0.758277, 0.760421]
[0.995222, 0.995339] ; [0.760421, 0.762527]
[0.99664, 0.996757] ; [0.762527, 0.764598]
[0.998043, 0.998161] ; [0.764598, 0.766635]
[0.999432, 0.999551] ; [0.766635, 0.768641]
[1.00081, 1.00093] ; [0.768641, 0.770616]
[1.00217, 1.00229] ; [0.770616, 0.772562]
[1.00352, 1.00364] ; [0.772562, 0.77448]
[1.00486, 1.00498] ; [0.77448, 0.776371]
[1.00618, 1.0063] ; [0.776371, 0.778235]
[1.0075, 1.00762] ; [0.778235, 0.780074]
[1.0088, 1.00892] ; [0.780074, 0.781889]
[1.0101, 1.01022] ; [0.781889, 0.783678]
[1.01138, 1.0115] ; [0.783678, 0.785444]
[1.01265, 1.01277] ; [0.785444, 0.787187]
[1.01391, 1.01403] ; [0.787187, 0.788907]
[1.01516, 1.01528] ; [0.788907, 0.790604]
[1.01639, 1.01652] ; [0.790604, 0.792279]
[1.01762, 1.01774] ; [0.792279, 0.793931]
[1.01884, 1.01896] ; [0.793931, 0.795562]
