[0.950016, 0.950056] ; [0.552452, 0.554242]
[0.953293, 0.953333] ; [0.554242, 0.555996]
[0.956516, 0.956556] ; [0.555996, 0.557715]
[0.959689, 0.95973] ; [0.557715, 0.559405]
[0.962816, 0.962857] ; [0.559405, 0.561066]
[0.9659, 0.965942] ; [0.561066, 0.562701]
[0.968945, 0.968987] ; [0.562701, 0.564313]
[0.971953, 0.971995] ; [0.564313, 0.565903]
[0.974927, 0.97497] ; [0.565903, 0.567474]
[0.977869, 0.977912] ; [0.567474, 0.569026]
[0.980779, 0.980822] ; [0.569026, 0.57056]
[0.983658, 0.983701] ; [0.57056, 0.572078]
[0.986506, 0.98655] ; [0.572078, 0.57358]
[0.989327, 0.989371] ; [0.57358, 0.575067]
[0.992119, 0.992163] ; [0.575067, 0.57654]
[0.994883, 0.994927] ; [0.57654, 0.577999]
[0.997621, 0.997666] ; [0.577999, 0.579446]
[1.00034, 1.00038] ; [0.579446, 0.580882]
[1.00303, 1.00307] ; [0.580882, 0.582308]
[1.0057, 1.00574] ; [0.582308, 0.583726]
[1.00834, 1.00839] ; [0.583726, 0.585135]
[1.01097, 1.01102] ; [0.585135, 0.586537]
[1.01359, 1.01363] ; [0.586537, 0.587934]
[1.01618, 1.01623] ; [0.587934, 0.589326]
[1.01876, 1.01881] ; [0.589326, 0.590714]
[1.02133, 1.02138] ; [0.590714, 0.592099]
[1.02388, 1.02393] ; [0.592099, 0.593482]
[1.02643, 1.02647] ; [0.593482, 0.594864]
[1.02896, 1.02901] ; [0.594864, 0.596246]
[1.03148, 1.03153] ; [0.596246, 0.597629]
[1.03399, 1.03404] ; [0.597629, 0.599014]
[1.0365, 1.03655] ; [0.599014, 0.600403]
[1.039, 1.03905] ; [0.600403, 0.601795]
[1.04149, 1.04154] ; [0.601795, 0.603193]
[1.04399, 1.04404] ; [0.603193, 0.604598]
[1.04648, 1.04653] ; [0.604598, 0.606011]
[1.04897, 1.04902] ; [0.606011, 0.607433]
[1.05146, 1.05151] ; [0.607433, 0.608865]
[1.05395, 1.05401] ; [0.608865, 0.61031]
[1.05645, 1.05651] ; [0.61031, 0.611769]
[1.05896, 1.05902] ; [0.611769, 0.613244]
[1.06148, 1.06153] ; [0.613244, 0.614737]
[1.064, 1.06406] ; [0.614737, 0.61625]
[1.06654, 1.0666] ; [0.61625, 0.617785]
[1.0691, 1.06916] ; [0.617785, 0.619346]
[1.07167, 1.07173] ; [0.619346, 0.620933]
[1.07427, 1.07433] ; [0.620933, 0.622551]
[1.07689, 1.07695] ; [0.622551, 0.624204]
[1.07954, 1.0796] ; [0.624204, 0.625895]
[1.08223, 1.08229] ; [0.625895, 0.62763]
[1.08496, 1.08502] ; [0.62763, 0.629414]
[1.08773, 1.0878] ; [0.629414, 0.631254]
[1.09056, 1.09063] ; [0.631254, 0.633159]
[1.09335, 1.09341] ; [0.633159, 0.63506]
[1.09596, 1.09602] ; [0.63506, 0.636869]
[1.09845, 1.09852] ; [0.636869, 0.638626]
[1.10085, 1.10092] ; [0.638626, 0.640334]
[1.10316, 1.10322] ; [0.640334, 0.642002]
[1.10539, 1.10545] ; [0.642002, 0.643637]
[1.10755, 1.10762] ; [0.643637, 0.645243]
[1.10965, 1.10972] ; [0.645243, 0.646825]
[1.11169, 1.11176] ; [0.646825, 0.648387]
[1.11368, 1.11376] ; [0.648387, 0.64993]
[1.11563, 1.11571] ; [0.64993, 0.651458]
[1.11754, 1.11761] ; [0.651458, 0.652972]
[1.11941, 1.11948] ; [0.652972, 0.654476]
[1.12124, 1.12132] ; [0.654476, 0.65597]
[1.12305, 1.12312] ; [0.65597, 0.657456]
[1.12482, 1.12489] ; [0.657456, 0.658936]
[1.12656, 1.12663] ; [0.658936, 0.660409]
[1.12827, 1.12835] ; [0.660409, 0.661877]
[1.12996, 1.13004] ; [0.661877, 0.663342]
[1.13163, 1.13171] ; [0.663342, 0.664804]
[1.13328, 1.13336] ; [0.664804, 0.666264]
[1.1349, 1.13498] ; [0.666264, 0.667723]
[1.13651, 1.13659] ; [0.667723, 0.669181]
[1.1381, 1.13818] ; [0.669181, 0.67064]
[1.13967, 1.13975] ; [0.67064, 0.672101]
[1.14122, 1.14131] ; [0.672101, 0.673562]
[1.14277, 1.14285] ; [0.673562, 0.675027]
[1.14429, 1.14438] ; [0.675027, 0.676494]
[1.14581, 1.14589] ; [0.676494, 0.677965]
[1.14731, 1.1474] ; [0.677965, 0.679439]
[1.14881, 1.14889] ; [0.679439, 0.680919]
[1.15029, 1.15037] ; [0.680919, 0.682403]
[1.15176, 1.15185] ; [0.682403, 0.683892]
[1.15323, 1.15331] ; [0.683892, 0.685387]
[1.15469, 1.15477] ; [0.685387, 0.686889]
[1.15614, 1.15622] ; [0.686889, 0.688397]
[1.15758, 1.15767] ; [0.688397, 0.689912]
[1.15902, 1.15911] ; [0.689912, 0.691434]
[1.16045, 1.16054] ; [0.691434, 0.692965]
[1.16188, 1.16197] ; [0.692965, 0.694503]
[1.16331, 1.1634] ; [0.694503, 0.69605]
[1.16473, 1.16482] ; [0.69605, 0.697606]
[1.16615, 1.16624] ; [0.697606, 0.699171]
[1.16757, 1.16766] ; [0.699171, 0.700746]
[1.16899, 1.16908] ; [0.700746, 0.70233]
[1.17041, 1.1705] ; [0.70233, 0.703925]
[1.17182, 1.17192] ; [0.703925, 0.705531]
[1.17324, 1.17334] ; [0.705531, 0.707147]
[1.17466, 1.17476] ; [0.707147, 0.708775]
[1.17609, 1.17618] ; [0.708775, 0.710415]
[1.17752, 1.17761] ; [0.710415, 0.712067]
[1.17895, 1.17904] ; [0.712067, 0.713731]
[1.18038, 1.18048] ; [0.713731, 0.715408]
[1.18183, 1.18192] ; [0.715408, 0.717099]
[1.18327, 1.18337] ; [0.717099, 0.718803]
[1.18473, 1.18483] ; [0.718803, 0.720522]
[1.18619, 1.18629] ; [0.720522, 0.722255]
[1.18767, 1.18777] ; [0.722255, 0.724003]
[1.18915, 1.18925] ; [0.724003, 0.725768]
[1.19064, 1.19074] ; [0.725768, 0.727549]
[1.19215, 1.19225] ; [0.727549, 0.729346]
[1.19367, 1.19377] ; [0.729346, 0.731162]
[1.1952, 1.19531] ; [0.731162, 0.732996]
[1.19675, 1.19685] ; [0.732996, 0.734849]
[1.19832, 1.19842] ; [0.734849, 0.736722]
