[0.0142074, 0.0142659] ; [0.577088, 0.579243]
[0.0151186, 0.0151775] ; [0.579243, 0.581324]
[0.0160199, 0.0160792] ; [0.581324, 0.583338]
[0.0169122, 0.0169718] ; [0.583338, 0.585293]
[0.0177961, 0.017856] ; [0.585293, 0.587195]
[0.018672, 0.0187322] ; [0.587195, 0.589049]
[0.0195404, 0.019601] ; [0.589049, 0.590859]
[0.0204016, 0.0204624] ; [0.590859, 0.592629]
[0.0212557, 0.0213168] ; [0.592629, 0.594362]
[0.022103, 0.0221644] ; [0.594362, 0.596062]
[0.0229434, 0.0230051] ; [0.596062, 0.597731]
[0.0237772, 0.0238392] ; [0.597731, 0.599372]
[0.0246043, 0.0246666] ; [0.599372, 0.600986]
[0.0254248, 0.0254873] ; [0.600986, 0.602576]
[0.0262387, 0.0263015] ; [0.602576, 0.604143]
[0.027046, 0.027109] ; [0.604143, 0.605689]
[0.0278466, 0.02791] ; [0.605689, 0.607217]
[0.0286406, 0.0287042] ; [0.607217, 0.608727]
[0.029427, 0.029491] ; [0.608727, 0.610219]
[0.0302055, 0.0302697] ; [0.610219, 0.611695]
[0.0309761, 0.0310406] ; [0.611695, 0.613154]
[0.0317387, 0.0318035] ; [0.613154, 0.6146]
[0.0324926, 0.0325578] ; [0.6146, 0.616031]
[0.0332375, 0.0333029] ; [0.616031, 0.617448]
[0.0339732, 0.0340389] ; [0.617448, 0.618853]
[0.0346997, 0.0347658] ; [0.618853, 0.620247]
[0.0354171, 0.0354836] ; [0.620247, 0.62163]
[0.0361253, 0.0361921] ; [0.62163, 0.623004]
[0.0368242, 0.0368914] ; [0.623004, 0.62437]
[0.0375138, 0.0375813] ; [0.62437, 0.625729]
[0.0381939, 0.0382618] ; [0.625729, 0.627081]
[0.0388645, 0.0389328] ; [0.627081, 0.628429]
[0.0395255, 0.0395942] ; [0.628429, 0.629772]
[0.0401768, 0.0402459] ; [0.629772, 0.631113]
[0.0408183, 0.0408877] ; [0.631113, 0.632451]
[0.0414497, 0.0415196] ; [0.632451, 0.633788]
[0.0420711, 0.0421414] ; [0.633788, 0.635126]
[0.0426822, 0.042753] ; [0.635126, 0.636464]
[0.0432829, 0.0433541] ; [0.636464, 0.637804]
[0.0438729, 0.0439446] ; [0.637804, 0.639148]
[0.0444521, 0.0445243] ; [0.639148, 0.640496]
[0.0450203, 0.045093] ; [0.640496, 0.64185]
[0.0455772, 0.0456504] ; [0.64185, 0.64321]
[0.0461226, 0.0461963] ; [0.64321, 0.644579]
[0.0466561, 0.0467303] ; [0.644579, 0.645958]
[0.0471774, 0.0472521] ; [0.645958, 0.647348]
[0.0476861, 0.0477614] ; [0.647348, 0.64875]
[0.0481819, 0.0482578] ; [0.64875, 0.650168]
[0.0486642, 0.0487408] ; [0.650168, 0.651602]
[0.0491326, 0.0492098] ; [0.651602, 0.653055]
[0.0495865, 0.0496643] ; [0.653055, 0.654529]
[0.0500252, 0.0501036] ; [0.654529, 0.656026]
[0.0504478, 0.0505269] ; [0.656026, 0.65755]
[0.0508533, 0.0509331] ; [0.65755, 0.659102]
[0.0512406, 0.0513212] ; [0.659102, 0.660685]
[0.0516087, 0.05169] ; [0.660685, 0.662304]
[0.0519561, 0.0520383] ; [0.662304, 0.663963]
[0.0522814, 0.0523644] ; [0.663963, 0.665666]
[0.0525826, 0.0526666] ; [0.665666, 0.667419]
[0.0528477, 0.0529326] ; [0.667419, 0.669158]
[0.05307, 0.0531557] ; [0.669158, 0.670823]
[0.0532568, 0.0533433] ; [0.670823, 0.672445]
[0.0534108, 0.0534981] ; [0.672445, 0.674025]
[0.0535348, 0.0536229] ; [0.674025, 0.675572]
[0.0536309, 0.0537197] ; [0.675572, 0.67709]
[0.0537009, 0.0537904] ; [0.67709, 0.678585]
[0.0537462, 0.0538364] ; [0.678585, 0.680058]
[0.0537681, 0.053859] ; [0.680058, 0.681514]
[0.0537677, 0.0538592] ; [0.681514, 0.682955]
[0.0537457, 0.0538379] ; [0.682955, 0.684384]
[0.0537031, 0.0537959] ; [0.684384, 0.685802]
[0.0536404, 0.0537338] ; [0.685802, 0.687211]
[0.0535582, 0.0536522] ; [0.687211, 0.688613]
[0.053457, 0.0535516] ; [0.688613, 0.690009]
[0.0533373, 0.0534326] ; [0.690009, 0.6914]
[0.0531996, 0.0532954] ; [0.6914, 0.692787]
[0.0530442, 0.0531406] ; [0.692787, 0.694171]
