[-0.510797, -0.510783] ; [0.273907, 0.275874]
[-0.51379, -0.513777] ; [0.275874, 0.277857]
[-0.516805, -0.516791] ; [0.277857, 0.279858]
[-0.519842, -0.519828] ; [0.279858, 0.281877]
[-0.522904, -0.52289] ; [0.281877, 0.283916]
[-0.525992, -0.525978] ; [0.283916, 0.285976]
[-0.529109, -0.529095] ; [0.285976, 0.288057]
[-0.532257, -0.532243] ; [0.288057, 0.290162]
[-0.53544, -0.535426] ; [0.290162, 0.292291]
[-0.53866, -0.538646] ; [0.292291, 0.294448]
[-0.541921, -0.541906] ; [0.294448, 0.296632]
[-0.545205, -0.545189] ; [0.296632, 0.298834]
[-0.54843, -0.548414] ; [0.298834, 0.300997]
[-0.5516, -0.551585] ; [0.300997, 0.303124]
[-0.55472, -0.554704] ; [0.303124, 0.305217]
[-0.55779, -0.557774] ; [0.305217, 0.307276]
[-0.560812, -0.560797] ; [0.307276, 0.309304]
[-0.563787, -0.563771] ; [0.309304, 0.311298]
[-0.566717, -0.566701] ; [0.311298, 0.313263]
[-0.569605, -0.569589] ; [0.313263, 0.315197]
[-0.572451, -0.572435] ; [0.315197, 0.317103]
[-0.575259, -0.575243] ; [0.317103, 0.318983]
[-0.578029, -0.578013] ; [0.318983, 0.320835]
[-0.580763, -0.580747] ; [0.320835, 0.322663]
[-0.583462, -0.583446] ; [0.322663, 0.324466]
[-0.586128, -0.586111] ; [0.324466, 0.326244]
[-0.58876, -0.588743] ; [0.326244, 0.328]
[-0.591361, -0.591344] ; [0.328, 0.329732]
[-0.59393, -0.593913] ; [0.329732, 0.331443]
[-0.596469, -0.596452] ; [0.331443, 0.333131]
[-0.598978, -0.598961] ; [0.333131, 0.334798]
[-0.601458, -0.601441] ; [0.334798, 0.336444]
[-0.603929, -0.603911] ; [0.336444, 0.338082]
[-0.606394, -0.606377] ; [0.338082, 0.339715]
[-0.608855, -0.608838] ; [0.339715, 0.341344]
[-0.611312, -0.611295] ; [0.341344, 0.342968]
[-0.613766, -0.613748] ; [0.342968, 0.344589]
[-0.616217, -0.616199] ; [0.344589, 0.346205]
[-0.618665, -0.618647] ; [0.346205, 0.347818]
[-0.62111, -0.621092] ; [0.347818, 0.349428]
[-0.623554, -0.623536] ; [0.349428, 0.351034]
[-0.625996, -0.625978] ; [0.351034, 0.352638]
[-0.628436, -0.628418] ; [0.352638, 0.354239]
[-0.630876, -0.630857] ; [0.354239, 0.355837]
[-0.633314, -0.633296] ; [0.355837, 0.357434]
