[1.04504, 1.04512] ; [0.65671, 0.658175]
[1.04659, 1.04667] ; [0.658175, 0.659635]
[1.04812, 1.0482] ; [0.659635, 0.661092]
[1.04963, 1.0497] ; [0.661092, 0.662546]
[1.05111, 1.05119] ; [0.662546, 0.663997]
[1.05258, 1.05266] ; [0.663997, 0.665448]
[1.05403, 1.05411] ; [0.665448, 0.666898]
[1.05547, 1.05555] ; [0.666898, 0.668348]
[1.05689, 1.05697] ; [0.668348, 0.669799]
[1.05829, 1.05837] ; [0.669799, 0.671252]
[1.05969, 1.05977] ; [0.671252, 0.672706]
[1.06107, 1.06115] ; [0.672706, 0.674163]
[1.06244, 1.06252] ; [0.674163, 0.675624]
[1.0638, 1.06388] ; [0.675624, 0.677087]
[1.06514, 1.06523] ; [0.677087, 0.678555]
[1.06648, 1.06657] ; [0.678555, 0.680028]
[1.06781, 1.0679] ; [0.680028, 0.681505]
[1.06914, 1.06922] ; [0.681505, 0.682988]
[1.07045, 1.07054] ; [0.682988, 0.684477]
[1.07176, 1.07185] ; [0.684477, 0.685972]
[1.07307, 1.07315] ; [0.685972, 0.687473]
[1.07437, 1.07445] ; [0.687473, 0.688982]
[1.07566, 1.07574] ; [0.688982, 0.690498]
[1.07695, 1.07704] ; [0.690498, 0.692021]
[1.07824, 1.07832] ; [0.692021, 0.693553]
[1.07952, 1.07961] ; [0.693553, 0.695093]
[1.0808, 1.08089] ; [0.695093, 0.696642]
[1.08208, 1.08217] ; [0.696642, 0.6982]
[1.08336, 1.08345] ; [0.6982, 0.699767]
[1.08464, 1.08473] ; [0.699767, 0.701344]
[1.08592, 1.08601] ; [0.701344, 0.702932]
[1.0872, 1.08729] ; [0.702932, 0.70453]
[1.08848, 1.08857] ; [0.70453, 0.706139]
[1.08976, 1.08985] ; [0.706139, 0.707759]
[1.09105, 1.09114] ; [0.707759, 0.709391]
[1.09234, 1.09243] ; [0.709391, 0.711035]
[1.09363, 1.09372] ; [0.711035, 0.712692]
[1.09493, 1.09502] ; [0.712692, 0.714361]
[1.09624, 1.09633] ; [0.714361, 0.716044]
[1.09755, 1.09764] ; [0.716044, 0.717741]
[1.09887, 1.09896] ; [0.717741, 0.719452]
[1.10019, 1.10028] ; [0.719452, 0.721178]
[1.10153, 1.10162] ; [0.721178, 0.722919]
[1.10287, 1.10296] ; [0.722919, 0.724676]
[1.10423, 1.10432] ; [0.724676, 0.72645]
[1.10559, 1.10569] ; [0.72645, 0.728241]
[1.10697, 1.10707] ; [0.728241, 0.73005]
[1.10836, 1.10846] ; [0.73005, 0.731878]
[1.10977, 1.10987] ; [0.731878, 0.733725]
[1.1112, 1.11129] ; [0.733725, 0.735594]
[1.11263, 1.11273] ; [0.735594, 0.737479]
[1.11409, 1.11418] ; [0.737479, 0.739382]
[1.11556, 1.11565] ; [0.739382, 0.741304]
[1.11704, 1.11714] ; [0.741304, 0.743244]
[1.11855, 1.11865] ; [0.743244, 0.745205]
[1.12007, 1.12017] ; [0.745205, 0.747187]
[1.12162, 1.12172] ; [0.747187, 0.749191]
[1.12319, 1.12329] ; [0.749191, 0.75122]
[1.12478, 1.12488] ; [0.75122, 0.753275]
[1.1264, 1.12651] ; [0.753275, 0.755357]
[1.12806, 1.12816] ; [0.755357, 0.757469]
[1.12974, 1.12984] ; [0.757469, 0.759614]
[1.13146, 1.13156] ; [0.759614, 0.761793]
[1.13322, 1.13332] ; [0.761793, 0.764011]
[1.13498, 1.13509] ; [0.764011, 0.766226]
[1.13673, 1.13683] ; [0.766226, 0.768398]
