[-0.000211802, 0] ; ([-0.00698132, -0.00698132] ; [0, 0] ; [-1.74533, -1.74533] ; [0, 0])
[0.208474, 0.209606] ; ([-0.299463, -0.297346] ; [-1.85124, -1.83817] ; [-0.343115, -0.329555] ; [11.9548, 11.9657])
[0.209606, 0.210744] ; ([-0.301547, -0.299435] ; [-1.83826, -1.82459] ; [-0.329573, -0.315936] ; [11.964, 11.9736])
[0.210744, 0.211888] ; ([-0.303628, -0.301518] ; [-1.82469, -1.81041] ; [-0.315954, -0.302229] ; [11.9719, 11.9802])
[0.211888, 0.213041] ; ([-0.305706, -0.303598] ; [-1.81051, -1.79561] ; [-0.302247, -0.288422] ; [11.9784, 11.9853])
[0.213041, 0.214202] ; ([-0.307783, -0.305675] ; [-1.79572, -1.7802] ; [-0.288441, -0.274502] ; [11.9836, 11.9892])
[0.214202, 0.215373] ; ([-0.30986, -0.307751] ; [-1.78031, -1.76417] ; [-0.274522, -0.260456] ; [11.9874, 11.9916])
[0.215373, 0.216557] ; ([-0.311938, -0.309827] ; [-1.76429, -1.7475] ; [-0.260476, -0.246267] ; [11.9897, 11.9925])
[0.216557, 0.217753] ; ([-0.314019, -0.311904] ; [-1.74763, -1.7302] ; [-0.246289, -0.231921] ; [11.9907, 11.992])
[0.217753, 0.218964] ; ([-0.316105, -0.313983] ; [-1.73034, -1.71224] ; [-0.231944, -0.217398] ; [11.9889, 11.9913])
[0.218964, 0.220191] ; ([-0.318195, -0.316068] ; [-1.71239, -1.69363] ; [-0.217423, -0.202685] ; [11.9854, 11.9893])
[0.220191, 0.221437] ; ([-0.320293, -0.318157] ; [-1.69379, -1.67435] ; [-0.202712, -0.187763] ; [11.9803, 11.9858])
[0.221437, 0.222702] ; ([-0.322399, -0.320253] ; [-1.67452, -1.65438] ; [-0.187793, -0.172609] ; [11.9735, 11.9807])
[0.222702, 0.223989] ; ([-0.324517, -0.322358] ; [-1.65456, -1.63371] ; [-0.172642, -0.157198] ; [11.965, 11.974])
[0.223989, 0.225301] ; ([-0.326648, -0.324474] ; [-1.63391, -1.61232] ; [-0.157234, -0.141499] ; [11.9548, 11.9655])
[0.225301, 0.226642] ; ([-0.328795, -0.326603] ; [-1.61253, -1.59018] ; [-0.141539, -0.125483] ; [11.9427, 11.9553])
[0.226642, 0.228013] ; ([-0.330962, -0.328748] ; [-1.59043, -1.56726] ; [-0.125526, -0.109111] ; [11.9286, 11.9432])
[0.228013, 0.229419] ; ([-0.333151, -0.330913] ; [-1.56757, -1.54354] ; [-0.109159, -0.0923441] ; [11.9123, 11.9291])
[0.229419, 0.230865] ; ([-0.335366, -0.333099] ; [-1.54391, -1.51897] ; [-0.0923964, -0.075135] ; [11.8939, 11.913])
[0.230865, 0.232355] ; ([-0.337611, -0.335311] ; [-1.51941, -1.49351] ; [-0.0751925, -0.0574308] ; [11.8729, 11.8945])
