[-0.000214825, 0] ; ([-0.00698132, -0.00698132] ; [0, 0] ; [-1.74533, -1.74533] ; [0, 0])
[0.200162, 0.201288] ; ([-0.282596, -0.280404] ; [-1.93209, -1.92431] ; [-0.460855, -0.447631] ; [11.7207, 11.7433])
[0.201288, 0.202412] ; ([-0.284755, -0.282575] ; [-1.92438, -1.91602] ; [-0.447646, -0.434421] ; [11.7417, 11.7629])
[0.202412, 0.203535] ; ([-0.286902, -0.284733] ; [-1.91609, -1.90715] ; [-0.434437, -0.421205] ; [11.7613, 11.7811])
[0.203535, 0.204657] ; ([-0.289037, -0.286878] ; [-1.90722, -1.89771] ; [-0.421221, -0.407975] ; [11.7795, 11.7981])
[0.204657, 0.20578] ; ([-0.291162, -0.289013] ; [-1.89778, -1.88769] ; [-0.407991, -0.394722] ; [11.7964, 11.8137])
[0.20578, 0.206904] ; ([-0.293278, -0.291138] ; [-1.88777, -1.87709] ; [-0.394738, -0.381439] ; [11.8121, 11.828])
[0.206904, 0.208029] ; ([-0.295385, -0.293253] ; [-1.87717, -1.86591] ; [-0.381456, -0.368117] ; [11.8264, 11.8411])
[0.208029, 0.209158] ; ([-0.297485, -0.295359] ; [-1.866, -1.85415] ; [-0.368134, -0.354748] ; [11.8394, 11.8528])
[0.209158, 0.21029] ; ([-0.299578, -0.297458] ; [-1.85424, -1.84181] ; [-0.354765, -0.341321] ; [11.8511, 11.8632])
[0.21029, 0.211427] ; ([-0.301666, -0.29955] ; [-1.84191, -1.82889] ; [-0.341339, -0.327827] ; [11.8615, 11.8723])
[0.211427, 0.21257] ; ([-0.303748, -0.301637] ; [-1.82899, -1.81537] ; [-0.327845, -0.314256] ; [11.8706, 11.8801])
[0.21257, 0.21372] ; ([-0.305828, -0.303719] ; [-1.81548, -1.80126] ; [-0.314274, -0.300596] ; [11.8784, 11.8866])
[0.21372, 0.214877] ; ([-0.307905, -0.305797] ; [-1.80137, -1.78656] ; [-0.300615, -0.286835] ; [11.8849, 11.8918])
[0.214877, 0.216044] ; ([-0.30998, -0.307873] ; [-1.78667, -1.77125] ; [-0.286855, -0.272962] ; [11.89, 11.8956])
[0.216044, 0.217221] ; ([-0.312056, -0.309948] ; [-1.77137, -1.75533] ; [-0.272982, -0.25896] ; [11.8938, 11.898])
[0.217221, 0.218409] ; ([-0.314134, -0.312023] ; [-1.75546, -1.73879] ; [-0.258981, -0.244817] ; [11.8962, 11.8991])
[0.218409, 0.219611] ; ([-0.316214, -0.314099] ; [-1.73893, -1.72162] ; [-0.24484, -0.230515] ; [11.8972, 11.8987])
[0.219611, 0.220828] ; ([-0.318299, -0.316178] ; [-1.72177, -1.70382] ; [-0.230539, -0.216037] ; [11.8957, 11.898])
[0.220828, 0.222061] ; ([-0.32039, -0.318262] ; [-1.70397, -1.68537] ; [-0.216063, -0.201369] ; [11.8923, 11.8961])
[0.222061, 0.223312] ; ([-0.322487, -0.320351] ; [-1.68553, -1.66626] ; [-0.201397, -0.186493] ; [11.8874, 11.8927])
[0.223312, 0.224584] ; ([-0.324593, -0.322447] ; [-1.66644, -1.64649] ; [-0.186524, -0.171385] ; [11.8808, 11.8878])
[0.224584, 0.225877] ; ([-0.326711, -0.324552] ; [-1.64668, -1.62603] ; [-0.171419, -0.156021] ; [11.8726, 11.8813])
[0.225877, 0.227195] ; ([-0.328842, -0.326668] ; [-1.62623, -1.60486] ; [-0.156058, -0.140372] ; [11.8627, 11.8731])
[0.227195, 0.228542] ; ([-0.330989, -0.328797] ; [-1.60508, -1.58297] ; [-0.140412, -0.124408] ; [11.8509, 11.8632])
[0.228542, 0.229919] ; ([-0.333155, -0.330942] ; [-1.58323, -1.56032] ; [-0.124451, -0.108092] ; [11.8372, 11.8515])
[0.229919, 0.231331] ; ([-0.335343, -0.333105] ; [-1.56063, -1.53688] ; [-0.10814, -0.0913849] ; [11.8214, 11.8378])
[0.231331, 0.232782] ; ([-0.337557, -0.335291] ; [-1.53726, -1.51263] ; [-0.0914374, -0.0742423] ; [11.8034, 11.822])
[0.232782, 0.234277] ; ([-0.3398, -0.337502] ; [-1.51307, -1.48751] ; [-0.0742999, -0.056613] ; [11.783, 11.8041])
[0.234277, 0.235752] ; ([-0.341976, -0.339745] ; [-1.48801, -1.46268] ; [-0.0566745, -0.0392462] ; [11.7612, 11.7837])
[0.235752, 0.237164] ; ([-0.344025, -0.341923] ; [-1.46318, -1.43889] ; [-0.0393092, -0.0226463] ; [11.7386, 11.7619])
