[-0.000137011, 0] ; ([-0.00349066, -0.00349066] ; [0, 0] ; [-0.776672, -0.776672] ; [0, 0])
[0.0306221, 0.0312746] ; ([-0.0240567, -0.0234192] ; [-0.97984, -0.973766] ; [-0.743063, -0.741743] ; [2.00652, 2.04041])
[0.0312746, 0.0319395] ; ([-0.02471, -0.0240565] ; [-0.985513, -0.979583] ; [-0.741743, -0.740375] ; [2.04021, 2.07454])
[0.0319395, 0.0326173] ; ([-0.0253798, -0.0247099] ; [-0.991046, -0.985258] ; [-0.740375, -0.738957] ; [2.07434, 2.10914])
[0.0326173, 0.0333085] ; ([-0.0260666, -0.0253797] ; [-0.996439, -0.990793] ; [-0.738957, -0.737487] ; [2.10893, 2.14421])
[0.0333085, 0.0340135] ; ([-0.0267709, -0.0260665] ; [-1.00169, -0.996189] ; [-0.737487, -0.735963] ; [2.144, 2.17978])
[0.0340135, 0.0347328] ; ([-0.0274932, -0.0267707] ; [-1.00681, -1.00145] ; [-0.735963, -0.734382] ; [2.17957, 2.21587])
[0.0347328, 0.035467] ; ([-0.0282341, -0.027493] ; [-1.0118, -1.00657] ; [-0.734382, -0.732742] ; [2.21565, 2.25249])
[0.035467, 0.0362165] ; ([-0.0289942, -0.0282339] ; [-1.01665, -1.01156] ; [-0.732742, -0.73104] ; [2.25227, 2.28966])
[0.0362165, 0.036982] ; ([-0.0297742, -0.028994] ; [-1.02137, -1.01641] ; [-0.73104, -0.729273] ; [2.28944, 2.32741])
[0.036982, 0.0377641] ; ([-0.0305747, -0.029774] ; [-1.02596, -1.02113] ; [-0.729273, -0.727438] ; [2.32719, 2.36576])
[0.0377641, 0.0385634] ; ([-0.0313965, -0.0305746] ; [-1.03043, -1.02573] ; [-0.727438, -0.725531] ; [2.36553, 2.40473])
[0.0385634, 0.0393807] ; ([-0.0322403, -0.0313964] ; [-1.03477, -1.0302] ; [-0.725531, -0.72355] ; [2.40449, 2.44434])
[0.0393807, 0.0402166] ; ([-0.033107, -0.0322402] ; [-1.03898, -1.03454] ; [-0.72355, -0.72149] ; [2.4441, 2.48463])
[0.0402166, 0.0410718] ; ([-0.0339972, -0.0331068] ; [-1.04307, -1.03875] ; [-0.72149, -0.719347] ; [2.48438, 2.52561])
[0.0410718, 0.0419473] ; ([-0.0349121, -0.0339971] ; [-1.04705, -1.04285] ; [-0.719347, -0.717118] ; [2.52535, 2.56731])
