[-0.00012218, 0] ; ([0.0383972, 0.0383972] ; [0, 0] ; [0.872665, 0.872665] ; [0, 0])
[0.0424982, 0.0433788] ; ([0.0110518, 0.0118915] ; [-0.956526, -0.950247] ; [0.836984, 0.838513] ; [-1.75697, -1.71694])
[0.0433788, 0.0442747] ; ([0.0101923, 0.0110519] ; [-0.962389, -0.956265] ; [0.835391, 0.836984] ; [-1.79772, -1.75696])
[0.0442747, 0.0451864] ; ([0.00931237, 0.0101924] ; [-0.968099, -0.96213] ; [0.833733, 0.835391] ; [-1.83921, -1.79771])
[0.0451864, 0.0461143] ; ([0.00841156, 0.00931251] ; [-0.973656, -0.967841] ; [0.832007, 0.833734] ; [-1.88145, -1.8392])
[0.0461143, 0.047059] ; ([0.00748935, 0.00841171] ; [-0.97906, -0.9734] ; [0.83021, 0.832007] ; [-1.92448, -1.88145])
[0.047059, 0.0480208] ; ([0.00654519, 0.0074895] ; [-0.98431, -0.978805] ; [0.828337, 0.83021] ; [-1.96829, -1.92447])
[0.0480208, 0.0490005] ; ([0.00557854, 0.00654535] ; [-0.989406, -0.984056] ; [0.826387, 0.828338] ; [-2.01291, -1.96828])
[0.0490005, 0.0499984] ; ([0.00458881, 0.0055787] ; [-0.994349, -0.989154] ; [0.824356, 0.826387] ; [-2.05837, -2.0129])
[0.0499984, 0.0510152] ; ([0.00357541, 0.00458898] ; [-0.999138, -0.994099] ; [0.822239, 0.824356] ; [-2.10467, -2.05835])
[0.0510152, 0.0520515] ; ([0.0025377, 0.00357558] ; [-1.00377, -0.99889] ; [0.820034, 0.82224] ; [-2.15183, -2.10464])
[0.0520515, 0.053108] ; ([0.00147503, 0.00253788] ; [-1.00826, -1.00353] ; [0.817735, 0.820034] ; [-2.19989, -2.1518])
[0.053108, 0.0541852] ; ([0.000386697, 0.00147521] ; [-1.01259, -1.00801] ; [0.815339, 0.817735] ; [-2.24885, -2.19985])
[0.0541852, 0.0552839] ; ([-0.000728016, 0.000386884] ; [-1.01676, -1.01234] ; [0.812841, 0.815339] ; [-2.29874, -2.2488])
[0.0552839, 0.0564048] ; ([-0.00186988, -0.000727824] ; [-1.02078, -1.01652] ; [0.810236, 0.812841] ; [-2.34959, -2.29868])
[0.0564048, 0.0575487] ; ([-0.00303968, -0.00186968] ; [-1.02466, -1.02055] ; [0.807518, 0.810236] ; [-2.40141, -2.34952])
[0.0575487, 0.0587165] ; ([-0.00423829, -0.00303948] ; [-1.02837, -1.02442] ; [0.804683, 0.807519] ; [-2.45424, -2.40133])
[0.0587165, 0.0599089] ; ([-0.00546659, -0.00423808] ; [-1.03194, -1.02814] ; [0.801725, 0.804684] ; [-2.50809, -2.45414])
[0.0599089, 0.061127] ; ([-0.00672555, -0.00546638] ; [-1.03536, -1.03171] ; [0.798636, 0.801725] ; [-2.56299, -2.50798])
[0.061127, 0.0623717] ; ([-0.00801616, -0.00672533] ; [-1.03862, -1.03513] ; [0.795411, 0.798636] ; [-2.61898, -2.56287])
[0.0623717, 0.063644] ; ([-0.00933951, -0.00801593] ; [-1.04173, -1.03839] ; [0.792043, 0.795412] ; [-2.67607, -2.61884])
[0.063644, 0.0649452] ; ([-0.0106968, -0.00933928] ; [-1.0447, -1.04151] ; [0.788523, 0.792043] ; [-2.73431, -2.67592])
[0.0649452, 0.0662763] ; ([-0.0120891, -0.0106965] ; [-1.04751, -1.04448] ; [0.784844, 0.788523] ; [-2.79373, -2.73414])
[0.0662763, 0.0676387] ; ([-0.013518, -0.0120889] ; [-1.05018, -1.0473] ; [0.780996, 0.784844] ; [-2.85435, -2.79354])
[0.0676387, 0.0690338] ; ([-0.0149848, -0.0135177] ; [-1.0527, -1.04997] ; [0.776971, 0.780997] ; [-2.91623, -2.85414])
[0.0690338, 0.0704632] ; ([-0.016491, -0.0149845] ; [-1.05508, -1.05249] ; [0.772758, 0.776972] ; [-2.97939, -2.91599])
[0.0704632, 0.0719284] ; ([-0.0180385, -0.0164908] ; [-1.05731, -1.05487] ; [0.768345, 0.772758] ; [-3.04388, -2.97913])
[0.0719284, 0.0734314] ; ([-0.019629, -0.0180382] ; [-1.0594, -1.05711] ; [0.763721, 0.768346] ; [-3.10975, -3.04359])
[0.0734314, 0.0749741] ; ([-0.0212648, -0.0196287] ; [-1.06135, -1.0592] ; [0.758872, 0.763721] ; [-3.17706, -3.10944])
[0.0749741, 0.0765588] ; ([-0.022948, -0.0212645] ; [-1.06316, -1.06115] ; [0.753783, 0.758872] ; [-3.24585, -3.17671])
[0.0765588, 0.078188] ; ([-0.0246814, -0.0229477] ; [-1.06483, -1.06297] ; [0.748438, 0.753783] ; [-3.31619, -3.24546])
[0.078188, 0.0798645] ; ([-0.0264678, -0.024681] ; [-1.06637, -1.06465] ; [0.742818, 0.748438] ; [-3.38815, -3.31576])
[0.0798645, 0.0815897] ; ([-0.0283086, -0.0264674] ; [-1.06778, -1.06619] ; [0.73691, 0.742818] ; [-3.46174, -3.38768])
[0.0815897, 0.0833479] ; ([-0.0301869, -0.0283082] ; [-1.06904, -1.0676] ; [0.730758, 0.73691] ; [-3.53623, -3.46123])
[0.0833479, 0.0851404] ; ([-0.032104, -0.0301866] ; [-1.07017, -1.06888] ; [0.724352, 0.730759] ; [-3.61162, -3.53568])
[0.0851404, 0.0869682] ; ([-0.034061, -0.0321036] ; [-1.07118, -1.07002] ; [0.717682, 0.724353] ; [-3.68791, -3.61102])
[0.0869682, 0.0888328] ; ([-0.036059, -0.0340606] ; [-1.07206, -1.07103] ; [0.710734, 0.717682] ; [-3.76509, -3.68726])
[0.0888328, 0.0907357] ; ([-0.0380996, -0.0360586] ; [-1.07284, -1.07192] ; [0.703495, 0.710734] ; [-3.84317, -3.76439])
[0.0907357, 0.0926785] ; ([-0.0401845, -0.0380992] ; [-1.07351, -1.07271] ; [0.695953, 0.703496] ; [-3.92214, -3.84242])
[0.0926785, 0.094663] ; ([-0.0423154, -0.040184] ; [-1.0741, -1.0734] ; [0.68809, 0.695954] ; [-4.00201, -3.92133])
[0.094663, 0.0966915] ; ([-0.0444947, -0.0423149] ; [-1.07461, -1.074] ; [0.679891, 0.688091] ; [-4.08277, -4.00113])
[0.0966915, 0.0987664] ; ([-0.0467248, -0.0444942] ; [-1.07505, -1.07452] ; [0.671336, 0.679892] ; [-4.16444, -4.08182])
[0.0987664, 0.100891] ; ([-0.0490087, -0.0467242] ; [-1.07543, -1.07497] ; [0.662403, 0.671337] ; [-4.24704, -4.16342])
[0.100891, 0.103067] ; ([-0.0513498, -0.0490081] ; [-1.07578, -1.07537] ; [0.653069, 0.662404] ; [-4.33057, -4.24593])
[0.103067, 0.1053] ; ([-0.0537521, -0.0513491] ; [-1.0761, -1.07573] ; [0.643307, 0.653071] ; [-4.41506, -4.32936])
[0.1053, 0.107593] ; ([-0.0562205, -0.0537514] ; [-1.07642, -1.07606] ; [0.633084, 0.643308] ; [-4.50055, -4.41375])
[0.107593, 0.109953] ; ([-0.0587605, -0.0562197] ; [-1.07675, -1.07639] ; [0.622365, 0.633086] ; [-4.58707, -4.49912])
[0.109953, 0.112384] ; ([-0.0613789, -0.0587596] ; [-1.07712, -1.07673] ; [0.611108, 0.622367] ; [-4.67468, -4.58551])
[0.112384, 0.114895] ; ([-0.0640836, -0.0613779] ; [-1.07755, -1.0771] ; [0.599262, 0.611109] ; [-4.76344, -4.67297])
[0.114895, 0.117493] ; ([-0.0668841, -0.0640826] ; [-1.07806, -1.07752] ; [0.58677, 0.599263] ; [-4.85342, -4.76155])
[0.117493, 0.120189] ; ([-0.0697918, -0.0668829] ; [-1.07869, -1.07803] ; [0.573562, 0.586772] ; [-4.94472, -4.85133])
[0.120189, 0.122996] ; ([-0.0728209, -0.0697905] ; [-1.07949, -1.07866] ; [0.559555, 0.573564] ; [-5.03744, -4.94239])
[0.122996, 0.125681] ; ([-0.07572, -0.0728194] ; [-1.0804, -1.07945] ; [0.545918, 0.559557] ; [-5.12363, -5.03505])
[0.125681, 0.128251] ; ([-0.0784976, -0.0757185] ; [-1.08142, -1.08035] ; [0.532651, 0.54592] ; [-5.20398, -5.12138])
[0.128251, 0.130732] ; ([-0.0811822, -0.078496] ; [-1.08258, -1.08138] ; [0.519646, 0.532653] ; [-5.27951, -5.20184])
[0.130732, 0.133141] ; ([-0.0837919, -0.0811806] ; [-1.08387, -1.08254] ; [0.506843, 0.519649] ; [-5.35088, -5.27745])
[0.133141, 0.13549] ; ([-0.0863398, -0.0837901] ; [-1.0853, -1.08383] ; [0.494195, 0.506846] ; [-5.41856, -5.34888])
[0.13549, 0.137789] ; ([-0.0888362, -0.086338] ; [-1.08687, -1.08525] ; [0.481668, 0.494197] ; [-5.48291, -5.41661])
[0.137789, 0.140044] ; ([-0.091289, -0.0888343] ; [-1.08859, -1.08683] ; [0.469236, 0.48167] ; [-5.54421, -5.481])
[0.140044, 0.142262] ; ([-0.0937049, -0.091287] ; [-1.09046, -1.08854] ; [0.456879, 0.469239] ; [-5.60269, -5.54233])
[0.142262, 0.144446] ; ([-0.0960893, -0.0937028] ; [-1.09248, -1.09041] ; [0.444579, 0.456882] ; [-5.65852, -5.60083])
[0.144446, 0.146602] ; ([-0.0984469, -0.0960872] ; [-1.09465, -1.09243] ; [0.432324, 0.444582] ; [-5.71186, -5.65668])
[0.146602, 0.148733] ; ([-0.100782, -0.0984447] ; [-1.09698, -1.0946] ; [0.4201, 0.432327] ; [-5.76284, -5.71004])
[0.148733, 0.150842] ; ([-0.103098, -0.10078] ; [-1.09947, -1.09693] ; [0.407898, 0.420103] ; [-5.81156, -5.76103])
[0.150842, 0.152931] ; ([-0.105397, -0.103095] ; [-1.10211, -1.09942] ; [0.395708, 0.407902] ; [-5.85812, -5.80976])
[0.152931, 0.155003] ; ([-0.107684, -0.105395] ; [-1.10491, -1.10206] ; [0.383523, 0.395712] ; [-5.90259, -5.85632])
[0.155003, 0.157061] ; ([-0.109961, -0.107682] ; [-1.10787, -1.10486] ; [0.371335, 0.383527] ; [-5.94504, -5.90079])
[0.157061, 0.159106] ; ([-0.11223, -0.109958] ; [-1.11099, -1.10781] ; [0.359137, 0.371339] ; [-5.98552, -5.94324])
[0.159106, 0.161141] ; ([-0.114493, -0.112227] ; [-1.11426, -1.11093] ; [0.346923, 0.359141] ; [-6.0241, -5.98372])
[0.161141, 0.163166] ; ([-0.116753, -0.11449] ; [-1.1177, -1.11421] ; [0.334686, 0.346927] ; [-6.0608, -6.02229])
[0.163166, 0.165184] ; ([-0.119012, -0.11675] ; [-1.1213, -1.11764] ; [0.322422, 0.334691] ; [-6.09567, -6.05899])
[0.165184, 0.167196] ; ([-0.121272, -0.119009] ; [-1.12505, -1.12124] ; [0.310124, 0.322427] ; [-6.12874, -6.09386])
[0.167196, 0.169204] ; ([-0.123535, -0.121269] ; [-1.12897, -1.12499] ; [0.297787, 0.310129] ; [-6.16004, -6.12692])
[0.169204, 0.17121] ; ([-0.125803, -0.123532] ; [-1.13304, -1.1289] ; [0.285406, 0.297792] ; [-6.18958, -6.1582])
[0.17121, 0.173214] ; ([-0.128078, -0.1258] ; [-1.13727, -1.13297] ; [0.272976, 0.285412] ; [-6.21738, -6.18773])
[0.173214, 0.175218] ; ([-0.130362, -0.128075] ; [-1.14165, -1.1372] ; [0.260491, 0.272981] ; [-6.24346, -6.21552])
[0.175218, 0.177223] ; ([-0.132656, -0.130358] ; [-1.14619, -1.14158] ; [0.247946, 0.260497] ; [-6.26782, -6.24158])
[0.177223, 0.179232] ; ([-0.134963, -0.132652] ; [-1.15089, -1.14612] ; [0.235335, 0.247952] ; [-6.29047, -6.26593])
[0.179232, 0.181244] ; ([-0.137284, -0.134959] ; [-1.15573, -1.15081] ; [0.222655, 0.235342] ; [-6.31141, -6.28856])
[0.181244, 0.183263] ; ([-0.139621, -0.13728] ; [-1.16073, -1.15565] ; [0.209899, 0.222662] ; [-6.33063, -6.30948])
[0.183263, 0.185288] ; ([-0.141977, -0.139617] ; [-1.16588, -1.16065] ; [0.197062, 0.209906] ; [-6.34814, -6.32868])
