[-0.0001447, 0] ; ([-0.00349066, -0.00349066] ; [0, 0] ; [-0.776672, -0.776672] ; [0, 0])
[0.0796522, 0.0814424] ; ([-0.0766237, -0.0746427] ; [-1.10668, -1.10541] ; [-0.59545, -0.588165] ; [4.03587, 4.10144])
[0.0814424, 0.0832506] ; ([-0.0786255, -0.0766228] ; [-1.10765, -1.10651] ; [-0.588166, -0.580692] ; [4.10048, 4.16581])
[0.0832506, 0.0850732] ; ([-0.080645, -0.0786246] ; [-1.1085, -1.10749] ; [-0.580693, -0.573042] ; [4.16483, 4.22976])
[0.0850732, 0.0869069] ; ([-0.0826783, -0.080644] ; [-1.10923, -1.10834] ; [-0.573043, -0.565228] ; [4.22874, 4.29312])
[0.0869069, 0.0887488] ; ([-0.0847218, -0.0826773] ; [-1.10981, -1.10906] ; [-0.565229, -0.557263] ; [4.29208, 4.35576])
[0.0887488, 0.090596] ; ([-0.0867722, -0.0847208] ; [-1.11027, -1.10965] ; [-0.557265, -0.549161] ; [4.35469, 4.41756])
[0.090596, 0.092446] ; ([-0.0888264, -0.0867711] ; [-1.11059, -1.1101] ; [-0.549163, -0.540933] ; [4.41647, 4.47842])
[0.092446, 0.0942967] ; ([-0.0908818, -0.0888251] ; [-1.11078, -1.11042] ; [-0.540935, -0.53259] ; [4.47731, 4.53825])
[0.0942967, 0.0961464] ; ([-0.0929364, -0.0908804] ; [-1.11082, -1.11061] ; [-0.532592, -0.524143] ; [4.53712, 4.59696])
[0.0961464, 0.0979936] ; ([-0.0949881, -0.0929347] ; [-1.11076, -1.11063] ; [-0.524145, -0.515599] ; [4.59582, 4.65451])
[0.0979936, 0.0998354] ; ([-0.0970335, -0.0949863] ; [-1.11066, -1.1104] ; [-0.515601, -0.506975] ; [4.65335, 4.7108])
[0.0998354, 0.101662] ; ([-0.0990615, -0.0970315] ; [-1.11043, -1.11003] ; [-0.506977, -0.498322] ; [4.70963, 4.76551])
[0.101662, 0.103474] ; ([-0.101072, -0.0990593] ; [-1.11007, -1.10952] ; [-0.498324, -0.48964] ; [4.76434, 4.81868])
[0.103474, 0.105271] ; ([-0.103066, -0.10107] ; [-1.10956, -1.10889] ; [-0.489643, -0.480936] ; [4.81751, 4.87033])
[0.105271, 0.107053] ; ([-0.105042, -0.103063] ; [-1.10892, -1.10811] ; [-0.480938, -0.472211] ; [4.86916, 4.92047])
[0.107053, 0.108821] ; ([-0.107, -0.105039] ; [-1.10816, -1.10721] ; [-0.472214, -0.463469] ; [4.91929, 4.96911])
[0.108821, 0.110575] ; ([-0.108942, -0.106997] ; [-1.10725, -1.10618] ; [-0.463472, -0.454712] ; [4.96794, 5.0163])
[0.110575, 0.112316] ; ([-0.110867, -0.108938] ; [-1.10622, -1.10502] ; [-0.454715, -0.445941] ; [5.01512, 5.06204])
[0.112316, 0.114044] ; ([-0.112775, -0.110863] ; [-1.10506, -1.10373] ; [-0.445944, -0.437156] ; [5.06087, 5.10637])
[0.114044, 0.11576] ; ([-0.114668, -0.112771] ; [-1.10378, -1.10232] ; [-0.437159, -0.428359] ; [5.10519, 5.14931])
[0.11576, 0.117464] ; ([-0.116545, -0.114664] ; [-1.10236, -1.10078] ; [-0.428362, -0.419549] ; [5.14814, 5.19089])
