[-0.000125263, 0] ; ([0.0383972, 0.0383972] ; [0, 0] ; [0.872665, 0.872665] ; [0, 0])
[0.0531934, 0.0542782] ; ([0.000900888, 0.00198359] ; [-1.00023, -0.995576] ; [0.815475, 0.817872] ; [-2.23434, -2.18557])
[0.0542782, 0.0553845] ; ([-0.000207944, 0.000901075] ; [-1.00449, -0.999988] ; [0.812975, 0.815475] ; [-2.28397, -2.23428])
[0.0553845, 0.0565131] ; ([-0.00134385, -0.000207751] ; [-1.00859, -1.00425] ; [0.810369, 0.812975] ; [-2.33455, -2.28391])
[0.0565131, 0.0576649] ; ([-0.00250762, -0.00134365] ; [-1.01255, -1.00835] ; [0.807651, 0.810369] ; [-2.3861, -2.33448])
[0.0576649, 0.0588405] ; ([-0.00370011, -0.00250742] ; [-1.01635, -1.01231] ; [0.804815, 0.807651] ; [-2.43863, -2.38601])
[0.0588405, 0.0600409] ; ([-0.00492221, -0.0036999] ; [-1.01999, -1.01611] ; [0.801855, 0.804815] ; [-2.49218, -2.43854])
[0.0600409, 0.061267] ; ([-0.00617485, -0.00492199] ; [-1.02349, -1.01976] ; [0.798766, 0.801855] ; [-2.54677, -2.49207])
[0.061267, 0.0625197] ; ([-0.00745904, -0.00617463] ; [-1.02684, -1.02326] ; [0.795541, 0.798766] ; [-2.60243, -2.54665])
[0.0625197, 0.0638003] ; ([-0.00877586, -0.00745881] ; [-1.03003, -1.02661] ; [0.792172, 0.795541] ; [-2.65919, -2.60229])
[0.0638003, 0.0651096] ; ([-0.0101264, -0.00877562] ; [-1.03308, -1.02981] ; [0.788652, 0.792172] ; [-2.71707, -2.65903])
[0.0651096, 0.0664491] ; ([-0.011512, -0.0101262] ; [-1.03598, -1.03286] ; [0.784973, 0.788653] ; [-2.77611, -2.7169])
[0.0664491, 0.0678199] ; ([-0.0129339, -0.0115118] ; [-1.03873, -1.03576] ; [0.781127, 0.784974] ; [-2.83635, -2.77592])
[0.0678199, 0.0692235] ; ([-0.0143935, -0.0129336] ; [-1.04133, -1.03851] ; [0.777103, 0.781127] ; [-2.89782, -2.83614])
[0.0692235, 0.0706613] ; ([-0.0158925, -0.0143933] ; [-1.04379, -1.04112] ; [0.772891, 0.777103] ; [-2.96056, -2.89758])
