[0.0170526, 0.0170738] ; [0.518649, 0.521188]
[0.0164679, 0.0164892] ; [0.521188, 0.523682]
[0.0158971, 0.0159187] ; [0.523682, 0.526137]
[0.0153397, 0.0153614] ; [0.526137, 0.528556]
[0.0147948, 0.0148167] ; [0.528556, 0.530945]
[0.014262, 0.0142841] ; [0.530945, 0.533306]
[0.0137409, 0.0137632] ; [0.533306, 0.535642]
[0.0132311, 0.0132536] ; [0.535642, 0.537956]
[0.0127323, 0.012755] ; [0.537956, 0.54025]
[0.0122443, 0.0122672] ; [0.54025, 0.542528]
[0.011767, 0.0117901] ; [0.542528, 0.54479]
[0.0113001, 0.0113235] ; [0.54479, 0.54704]
[0.0108437, 0.0108673] ; [0.54704, 0.549279]
[0.0103977, 0.0104214] ; [0.549279, 0.551508]
[0.00996194, 0.00998595] ; [0.551508, 0.55373]
[0.00953656, 0.00956081] ; [0.55373, 0.555947]
[0.00912155, 0.00914605] ; [0.555947, 0.558159]
[0.00871698, 0.00874172] ; [0.558159, 0.560369]
[0.00832292, 0.00834792] ; [0.560369, 0.562577]
[0.00793949, 0.00796475] ; [0.562577, 0.564787]
[0.00756681, 0.00759234] ; [0.564787, 0.566998]
[0.00720504, 0.00723086] ; [0.566998, 0.569213]
[0.00685436, 0.00688047] ; [0.569213, 0.571434]
[0.00651498, 0.00654138] ; [0.571434, 0.573661]
[0.00618712, 0.00621383] ; [0.573661, 0.575897]
[0.00587104, 0.00589807] ; [0.575897, 0.578143]
[0.00556703, 0.00559438] ; [0.578143, 0.5804]
[0.00527539, 0.00530308] ; [0.5804, 0.582671]
[0.00499646, 0.0050245] ; [0.582671, 0.584958]
[0.00473062, 0.00475903] ; [0.584958, 0.587262]
[0.00447829, 0.00450706] ; [0.587262, 0.589585]
[0.0042399, 0.00426907] ; [0.589585, 0.591929]
[0.00401595, 0.00404552] ; [0.591929, 0.594296]
[0.00380698, 0.00383697] ; [0.594296, 0.596689]
[0.00361359, 0.00364402] ; [0.596689, 0.59911]
[0.00343654, 0.00346743] ; [0.59911, 0.601559]
[0.00327644, 0.00330781] ; [0.601559, 0.604038]
[0.00313402, 0.00316589] ; [0.604038, 0.606552]
[0.00301004, 0.00304243] ; [0.606552, 0.609103]
[0.00290627, 0.0029392] ; [0.609103, 0.611668]
[0.00282325, 0.00285674] ; [0.611668, 0.614242]
[0.00276117, 0.0027952] ; [0.614242, 0.616827]
[0.00272023, 0.00275484] ; [0.616827, 0.619422]
[0.00270077, 0.00273596] ; [0.619422, 0.621986]
[0.00270185, 0.0027376] ; [0.621986, 0.624505]
[0.00272238, 0.00275869] ; [0.624505, 0.626989]
[0.00276145, 0.00279831] ; [0.626989, 0.629441]
[0.00281827, 0.00285567] ; [0.629441, 0.631866]
[0.00289214, 0.00293007] ; [0.631866, 0.634266]
[0.00298245, 0.00302089] ; [0.634266, 0.636645]
[0.00308863, 0.00312759] ; [0.636645, 0.639005]
[0.00321019, 0.00324966] ; [0.639005, 0.64135]
[0.0033467, 0.00338666] ; [0.64135, 0.64368]
[0.00349768, 0.00353813] ; [0.64368, 0.645997]
[0.00366269, 0.00370362] ; [0.645997, 0.648303]
[0.00384139, 0.0038828] ; [0.648303, 0.650599]
[0.00403344, 0.00407532] ; [0.650599, 0.652887]
[0.00423855, 0.00428089] ; [0.652887, 0.655168]
[0.00445643, 0.00449923] ; [0.655168, 0.657444]
[0.00468684, 0.00473008] ; [0.657444, 0.659716]
[0.00492952, 0.00497321] ; [0.659716, 0.661985]
[0.00518427, 0.00522839] ; [0.661985, 0.664253]
[0.00545087, 0.00549543] ; [0.664253, 0.666521]
[0.00572915, 0.00577413] ; [0.666521, 0.66879]
[0.00601893, 0.00606433] ; [0.66879, 0.671061]
[0.00632004, 0.00636586] ; [0.671061, 0.673335]
[0.00663235, 0.00667858] ; [0.673335, 0.675613]
[0.00695572, 0.00700235] ; [0.675613, 0.677897]
[0.00729003, 0.00733706] ; [0.677897, 0.680187]
[0.00763516, 0.00768259] ; [0.680187, 0.682484]
[0.00799103, 0.00803885] ; [0.682484, 0.68479]
[0.00835755, 0.00840575] ; [0.68479, 0.687105]
[0.00873465, 0.00878323] ; [0.687105, 0.689431]
[0.00912228, 0.00917124] ; [0.689431, 0.691768]
[0.0095204, 0.00956973] ; [0.691768, 0.694118]
[0.00992899, 0.00997868] ; [0.694118, 0.696483]
[0.010348, 0.0103981] ; [0.696483, 0.698862]
[0.0107776, 0.010828] ; [0.698862, 0.701258]
[0.0112116, 0.0112624] ; [0.701258, 0.70364]
[0.011648, 0.011699] ; [0.70364, 0.705997]
[0.012086, 0.0121375] ; [0.705997, 0.708331]
[0.0125254, 0.0125771] ; [0.708331, 0.71064]
[0.0129656, 0.0130176] ; [0.71064, 0.712926]
[0.0134062, 0.0134585] ; [0.712926, 0.715188]
[0.0138468, 0.0138994] ; [0.715188, 0.717427]
[0.014287, 0.0143399] ; [0.717427, 0.719643]
[0.0147267, 0.0147798] ; [0.719643, 0.721836]
[0.0151653, 0.0152187] ; [0.721836, 0.724007]
[0.0156027, 0.0156563] ; [0.724007, 0.726155]
[0.0160387, 0.0160925] ; [0.726155, 0.728281]
[0.0164729, 0.016527] ; [0.728281, 0.730385]
[0.0169052, 0.0169596] ; [0.730385, 0.732468]
[0.0173355, 0.01739] ; [0.732468, 0.734529]
[0.0177635, 0.0178183] ; [0.734529, 0.73657]
[0.0181891, 0.0182441] ; [0.73657, 0.73859]
[0.0186121, 0.0186673] ; [0.73859, 0.74059]
[0.0190325, 0.0190879] ; [0.74059, 0.74257]
[0.0194501, 0.0195057] ; [0.74257, 0.74453]
[0.0198649, 0.0199206] ; [0.74453, 0.746471]
[0.0202766, 0.0203326] ; [0.746471, 0.748392]
[0.0206853, 0.0207415] ; [0.748392, 0.750295]
[0.0210909, 0.0211472] ; [0.750295, 0.752178]
[0.0214933, 0.0215498] ; [0.752178, 0.754043]
[0.0218924, 0.0219491] ; [0.754043, 0.75589]
[0.0222883, 0.0223451] ; [0.75589, 0.757718]
[0.0226808, 0.0227377] ; [0.757718, 0.759529]
[0.0230698, 0.023127] ; [0.759529, 0.761322]
[0.0234555, 0.0235128] ; [0.761322, 0.763096]
[0.0238377, 0.0238952] ; [0.763096, 0.764854]
[0.0242164, 0.024274] ; [0.764854, 0.766594]
[0.0245916, 0.0246493] ; [0.766594, 0.768317]
[0.0249632, 0.0250211] ; [0.768317, 0.770022]
[0.0253313, 0.0253893] ; [0.770022, 0.771711]
[0.0256957, 0.0257539] ; [0.771711, 0.773383]
[0.0260566, 0.0261149] ; [0.773383, 0.775037]
[0.0264139, 0.0264723] ; [0.775037, 0.776675]
[0.0267675, 0.026826] ; [0.776675, 0.778296]
[0.0271174, 0.0271761] ; [0.778296, 0.779901]
[0.0274637, 0.0275225] ; [0.779901, 0.781488]
[0.0278062, 0.0278652] ; [0.781488, 0.783059]
[0.0281451, 0.0282041] ; [0.783059, 0.784613]
[0.0284802, 0.0285393] ; [0.784613, 0.786151]
[0.0288115, 0.0288708] ; [0.786151, 0.787671]
[0.0291391, 0.0291985] ; [0.787671, 0.789175]
[0.0294629, 0.0295225] ; [0.789175, 0.790662]
[0.0297844, 0.029844] ; [0.790662, 0.792139]
[0.0301056, 0.0301653] ; [0.792139, 0.793615]
[0.0304266, 0.0304864] ; [0.793615, 0.795091]
[0.0307474, 0.0308073] ; [0.795091, 0.796567]
[0.031068, 0.0311281] ; [0.796567, 0.798043]
[0.0313885, 0.0314487] ; [0.798043, 0.799519]
[0.0317089, 0.0317691] ; [0.799519, 0.800995]
[0.0320291, 0.0320894] ; [0.800995, 0.802471]
[0.0323492, 0.0324096] ; [0.802471, 0.803947]
[0.0326692, 0.0327298] ; [0.803947, 0.805424]
[0.0329891, 0.0330498] ; [0.805424, 0.806901]
[0.033309, 0.0333697] ; [0.806901, 0.808379]
[0.0336287, 0.0336896] ; [0.808379, 0.809858]
[0.0339485, 0.0340095] ; [0.809858, 0.811337]
[0.0342682, 0.0343293] ; [0.811337, 0.812817]
[0.0345878, 0.034649] ; [0.812817, 0.814298]
[0.0349074, 0.0349687] ; [0.814298, 0.81578]
[0.035227, 0.0352884] ; [0.81578, 0.817262]
[0.0355466, 0.0356081] ; [0.817262, 0.818745]
[0.0358662, 0.0359278] ; [0.818745, 0.82023]
[0.0361859, 0.0362476] ; [0.82023, 0.821716]
[0.0365074, 0.0365692] ; [0.821716, 0.823211]
[0.0368324, 0.0368943] ; [0.823211, 0.824723]
[0.0371608, 0.0372228] ; [0.824723, 0.826253]
[0.0374927, 0.0375548] ; [0.826253, 0.8278]
[0.037828, 0.0378902] ; [0.8278, 0.829364]
[0.0381667, 0.038229] ; [0.829364, 0.830945]
[0.0385089, 0.0385714] ; [0.830945, 0.832543]
[0.0388546, 0.0389172] ; [0.832543, 0.834159]
[0.0392038, 0.0392664] ; [0.834159, 0.835793]
[0.0395565, 0.0396192] ; [0.835793, 0.837444]
[0.0399127, 0.0399755] ; [0.837444, 0.839113]
[0.0402724, 0.0403354] ; [0.839113, 0.840801]
[0.0406357, 0.0406989] ; [0.840801, 0.842506]
[0.0410027, 0.0410659] ; [0.842506, 0.844231]
[0.0413733, 0.0414367] ; [0.844231, 0.845974]
[0.0417476, 0.0418111] ; [0.845974, 0.847736]
[0.0421256, 0.0421892] ; [0.847736, 0.849518]
[0.0425074, 0.0425712] ; [0.849518, 0.851319]
[0.0428931, 0.042957] ; [0.851319, 0.853141]
[0.0432826, 0.0433467] ; [0.853141, 0.854984]
[0.0436761, 0.0437403] ; [0.854984, 0.856847]
[0.0440736, 0.044138] ; [0.856847, 0.858732]
[0.0444752, 0.0445397] ; [0.858732, 0.86064]
[0.044881, 0.0449456] ; [0.86064, 0.86257]
[0.0452909, 0.0453557] ; [0.86257, 0.864523]
[0.0457052, 0.0457702] ; [0.864523, 0.866501]
[0.0461239, 0.046189] ; [0.866501, 0.868504]
[0.0465471, 0.0466124] ; [0.868504, 0.870532]
[0.0469748, 0.0470404] ; [0.870532, 0.872587]
[0.0474073, 0.047473] ; [0.872587, 0.87467]
[0.0478445, 0.0479104] ; [0.87467, 0.876781]
[0.0482866, 0.0483528] ; [0.876781, 0.878923]
[0.0487338, 0.0488002] ; [0.878923, 0.881095]
[0.0491861, 0.0492528] ; [0.881095, 0.8833]
[0.0496437, 0.0497106] ; [0.8833, 0.88554]
[0.0501067, 0.0501739] ; [0.88554, 0.887815]
[0.0505753, 0.0506427] ; [0.887815, 0.890128]
[0.0510495, 0.0511173] ; [0.890128, 0.892481]
[0.0515296, 0.0515977] ; [0.892481, 0.894876]
[0.0520158, 0.0520841] ; [0.894876, 0.897315]
[0.052508, 0.0525767] ; [0.897315, 0.899801]
[0.0530066, 0.0530756] ; [0.899801, 0.902337]
[0.0535116, 0.053581] ; [0.902337, 0.904926]
[0.0540232, 0.054093] ; [0.904926, 0.907572]
[0.0545416, 0.0546118] ; [0.907572, 0.910279]
[0.0550643, 0.0551349] ; [0.910279, 0.913037]
[0.0555709, 0.0556419] ; [0.913037, 0.915741]
[0.0560643, 0.0561359] ; [0.915741, 0.918407]
[0.0565451, 0.0566171] ; [0.918407, 0.921039]
[0.0570139, 0.0570863] ; [0.921039, 0.923639]
[0.057471, 0.0575438] ; [0.923639, 0.926211]
[0.0579168, 0.0579902] ; [0.926211, 0.928759]
[0.0583518, 0.0584255] ; [0.928759, 0.931285]
[0.058776, 0.0588503] ; [0.931285, 0.933791]
[0.0591898, 0.0592645] ; [0.933791, 0.936279]
[0.0595933, 0.0596685] ; [0.936279, 0.938753]
[0.0599867, 0.0600623] ; [0.938753, 0.941213]
[0.0603699, 0.0604461] ; [0.941213, 0.943661]
[0.0607432, 0.0608198] ; [0.943661, 0.946099]
[0.0611065, 0.0611836] ; [0.946099, 0.94853]
[0.0614598, 0.0615374] ; [0.94853, 0.950953]
[0.0618032, 0.0618813] ; [0.950953, 0.953372]
[0.0621366, 0.0622151] ; [0.953372, 0.955787]
[0.0624599, 0.062539] ; [0.955787, 0.9582]
[0.0627731, 0.0628527] ; [0.9582, 0.960612]
[0.0630761, 0.0631562] ; [0.960612, 0.963025]
